"id";"nome";"partido"
62881;"Danilo Forte";"UNIÃO"
66385;"Julio Arcoverde";"PP"
66828;"Fausto Pinato";"PP"
69871;"Bacelar";"PV"
72442;"Felipe Carreras";"PSB"
73433;"Arlindo Chinaglia";"PT"
73441;"Celso Russomanno";"REPUBLICANOS"
73486;"Pompeo de Mattos";"PDT"
73531;"Ivan Valente";"PSOL"
73579;"Alberto Fraga";"PL"
73604;"Rui Falcão";"PT"
73692;"Osmar Terra";"MDB"
73701;"Benedita da Silva";"PT"
73768;"Dilceu Sperafico";"PP"
73778;"Luiz Carlos Hauly";"PODE"
73788;"Ricardo Barros";"PP"
73801;"Renildo Calheiros";"PCdoB"
73806;"Roseana Sarney";"MDB"
73808;"Sérgio Brito";"PSD"
74041;"Luiz Couto";"PT"
74043;"Wellington Roberto";"PL"
74044;"Wilson Santiago";"REPUBLICANOS"
74057;"Alice Portugal";"PCdoB"
74060;"Daniel Almeida";"PCdoB"
74075;"Elcione Barbalho";"MDB"
74079;"José Priante";"MDB"
74084;"Raimundo Santos";"PSD"
74090;"Átila Lins";"PSD"
74095;"Pauderney Avelino";"UNIÃO"
74141;"Josias Gomes";"PT"
74156;"Leonardo Monteiro";"PT"
74158;"Mário Heringer";"PDT"
74159;"Odair Cunha";"PT"
74160;"Patrus Ananias";"PT"
74161;"Reginaldo Lopes";"PT"
74171;"Chico Alencar";"PSOL"
74253;"Julio Lopes";"PP"
74262;"Carlos Sampaio";"PSDB"
74270;"Gilberto Nascimento";"PSC"
74273;"Jefferson Campos";"PL"
74283;"Vicentinho";"PT"
74299;"Leônidas Cristino";"PDT"
74317;"Júlio Cesar";"PSD"
74356;"Silas Câmara";"REPUBLICANOS"
74371;"Rubens Otoni";"PT"
74374;"Geraldo Resende";"PSDB"
74376;"Vander Loubet";"PT"
74383;"Giacobo";"PL"
74398;"Maria do Rosário";"PT"
74400;"Paulo Pimenta";"PT"
74428;"Mendonça Filho";"UNIÃO"
74454;"Eunício Oliveira";"MDB"
74467;"Damião Feliciano";"UNIÃO"
74478;"Luciano Bivar";"UNIÃO"
74537;"Claudio Cajado";"PP"
74550;"João Leão";"PP"
74554;"José Rocha";"UNIÃO"
74574;"Paulo Magalhães";"PSD"
74585;"Lincoln Portela";"PL"
74646;"Aécio Neves";"PSDB"
74696;"Alberto Mourão";"MDB"
74784;"Luiza Erundina";"PSOL"
74848;"Jandira Feghali";"PCdoB"
74856;"Laura Carneiro";"PSD"
74858;"Lindbergh Farias";"PT"
80815;"Leo Prates";"PDT"
81055;"Márcio Jerry";"PCdoB"
88256;"Clodoaldo Magalhães";"PV"
89536;"Prof. Paulo Fernando";"REPUBLICANOS"
91228;"Waldemar Oliveira";"AVANTE"
92102;"Leur Lomanto Júnior";"UNIÃO"
92346;"Eduardo Bolsonaro";"PL"
92699;"Fernando Monteiro";"PP"
92776;"Stefano Aguiar";"PSD"
98057;"Lafayette de Andrada";"REPUBLICANOS"
98148;"Cobalchini";"MDB"
98615;"Ismael";"PSD"
100689;"Hildo do Candango";"REPUBLICANOS"
103758;"Luciano Azevedo";"PSD"
104552;"Socorro Neri";"PP"
107283;"Gleisi Hoffmann";"PT"
107970;"Ana Paula Leão";"PP"
109429;"Benes Leocádio";"UNIÃO"
115200;"Raniery Paulino";"REPUBLICANOS"
116379;"Darci de Matos";"PSD"
121948;"Adriano do Baldy";"PP"
122158;"Pedro Paulo";"PSD"
122974;"Pedro Lucas Fernandes";"UNIÃO"
123086;"Átila Lira";"PP"
123756;"Antônia Lúcia";"REPUBLICANOS"
128760;"Paulo Marinho Jr";"PL"
132504;"Enio Verri";"PT"
133439;"André Figueiredo";"PDT"
133810;"Marcelo Moraes";"PL"
136811;"Afonso Hamm";"PP"
137070;"Vicentinho Júnior";"PP"
138286;"Luciano Alves";"PSD"
139285;"Lídice da Mata";"PSB"
141391;"Arnaldo Jardim";"CIDADANIA"
141398;"Carlos Zarattini";"PT"
141408;"Cleber Verde";"REPUBLICANOS"
141411;"Dagoberto Nogueira";"PSDB"
141421;"Eduardo da Fonte";"PP"
141431;"Fernando Coelho Filho";"UNIÃO"
141450;"Hugo Leal";"PSD"
141456;"Jilmar Tatto";"PT"
141458;"João Carlos Bacelar";"PL"
141459;"João Maia";"PL"
141464;"José Airton Félix Cirilo";"PT"
141470;"José Guimarães";"PT"
141480;"Lázaro Botelho";"PP"
141485;"Luiz Carlos Busato";"UNIÃO"
141487;"Luiz Fernando Faria";"PSD"
141488;"Paulo Teixeira";"PT"
141516;"Paulo Abi-Ackel";"PSDB"
141518;"Paulinho da Força";"SOLIDARIEDADE"
141531;"Rodrigo de Castro";"UNIÃO"
141555;"Vinicius Carvalho";"REPUBLICANOS"
143632;"Domingos Neto";"PSD"
143942;"Caio Vianna";"PSD"
150418;"Márcio Marinho";"REPUBLICANOS"
152605;"Glauber Braga";"PSOL"
153423;"Renilce Nicodemos";"MDB"
154178;"Milton Vieira";"REPUBLICANOS"
156190;"Marcel van Hattem";"NOVO"
157130;"Túlio Gadêlha";"REDE"
160161;"Marcelo Queiroz";"PP"
160508;"Afonso Florence";"PT"
160510;"Luis Tibé";"AVANTE"
160512;"Aureo Ribeiro";"SOLIDARIEDADE"
160517;"Paulo Foletto";"PSB"
160518;"Weliton Prado";"PROS"
160527;"Aguinaldo Ribeiro";"PP"
160531;"Jhonatan de Jesus";"REPUBLICANOS"
160535;"Marcon";"PT"
160538;"Bohn Gass";"PT"
160541;"Arthur Lira";"PP"
160545;"Alexandre Leite";"UNIÃO"
160548;"Jonas Donizette";"PSB"
160552;"Danrlei de Deus Hinterholz";"PSD"
160553;"Antonio Brito";"PSD"
160556;"Padre João";"PT"
160558;"Paulo Freire Costa";"PL"
160559;"Alceu Moreira";"MDB"
160569;"Waldenor Pereira";"PT"
160575;"Erika Kokay";"PT"
160588;"Diego Andrade";"PSD"
160591;"Vinicius Gurgel";"PL"
160592;"Zeca Dirceu";"PT"
160598;"Flávia Morais";"PDT"
160599;"Dimas Fabiano";"PP"
160600;"Arthur Oliveira Maia";"UNIÃO"
160601;"Pr. Marco Feliciano";"PL"
160604;"Pedro Uczai";"PT"
160610;"Valmir Assunção";"PT"
160621;"Sandro Alex";"PSD"
160629;"Romero Rodrigues";"PSC"
160632;"Zé Silva";"SOLIDARIEDADE"
160635;"Ruy Carneiro";"PSC"
160640;"Eros Biondini";"PL"
160642;"Pastor Eurico";"PL"
160665;"Augusto Coutinho";"REPUBLICANOS"
160666;"Félix Mendonça Júnior";"PDT"
160673;"Giovani Cherini";"PL"
160674;"Hugo Motta";"REPUBLICANOS"
160758;"Domingos Sávio";"PL"
160976;"Tiririca";"PL"
161440;"Pezenti";"MDB"
161550;"Emidinho Madeira";"PL"
162067;"Kiko Celeguim";"PT"
162332;"Luiz Nishimori";"PSD"
163321;"Ronaldo Nogueira";"REPUBLICANOS"
164360;"Carmen Zanotto";"CIDADANIA"
165470;"Rodrigo Valadares";"UNIÃO"
166402;"Magda Mofatto";"PL"
171139;"Loreny";"SOLIDARIEDADE"
171617;"Paulão";"PT"
171623;"Fabio Reis";"PSD"
171786;"Miguel Ângelo";"PT"
178829;"Capitão Augusto";"PL"
178832;"Leandre";"PSD"
178835;"Afonso Motta";"PDT"
178843;"Marx Beltrão";"PP"
178854;"Elmar Nascimento";"UNIÃO"
178857;"Jorge Solla";"PT"
178858;"Mário Negromonte Jr.";"PP"
178860;"Paulo Azi";"UNIÃO"
178866;"Luizianne Lins";"PT"
178871;"Evair Vieira de Melo";"PP"
178873;"Helder Salomão";"PT"
178876;"Célio Silveira";"MDB"
178881;"Aluisio Mendes";"PSC"
178882;"André Fufuca";"PP"
178884;"Hildo Rocha";"MDB"
178886;"Juscelino Filho";"UNIÃO"
178887;"Rubens Pereira Júnior";"PT"
178895;"Misael Varella";"PSD"
178896;"Newton Cardoso Jr";"MDB"
178905;"Fabio Garcia";"UNIÃO"
178908;"Delegado Éder Mauro";"PL"
178909;"Hélio Leite";"UNIÃO"
178910;"Joaquim Passarinho";"PL"
178927;"Aliel Machado";"PV"
178929;"Diego Garcia";"REPUBLICANOS"
178931;"Luciano Ducci";"PSB"
178933;"Sergio Souza";"MDB"
178934;"Toninho Wandscheer";"PROS"
178937;"Altineu Côrtes";"PL"
178943;"Marcos Soares";"UNIÃO"
178945;"Rosangela Gomes";"REPUBLICANOS"
178946;"Soraya Santos";"PL"
178947;"Sóstenes Cavalcante";"PL"
178954;"Lucio Mosquini";"MDB"
178962;"Carlos Gomes";"REPUBLICANOS"
178963;"Covatti Filho";"PP"
178964;"Heitor Schuch";"PSB"
178966;"Geovania de Sá";"PSDB"
178970;"João Daniel";"PT"
178972;"Alex Manente";"CIDADANIA"
178975;"Baleia Rossi";"MDB"
178983;"Marcio Alvino";"PL"
178985;"Miguel Lombardi";"PL"
178986;"Nilto Tatto";"PT"
178987;"Orlando Silva";"PCdoB"
178989;"Renata Abreu";"PODE"
178992;"Vitor Lippi";"PSDB"
178993;"Carlos Henrique Gaguim";"UNIÃO"
178997;"Moses Rodrigues";"UNIÃO"
179000;"Marcelo Álvaro Antônio";"PL"
179001;"Márcio Biolchi";"MDB"
180214;"Pastor Diniz";"UNIÃO"
182146;"Wolmer Araújo";"PATRIOTA"
188097;"Merlong Solano";"PT"
191923;"Flávio Nogueira";"PT"
198197;"Greyce Elias";"AVANTE"
198783;"Emanuel Pinheiro Neto";"MDB"
204351;"Dr. Luiz Ovando";"PP"
204355;"Da Vitoria";"PP"
204356;"Amaro Neto";"REPUBLICANOS"
204358;"Beto Pereira";"PSDB"
204360;"Silvia Cristina";"PL"
204361;"Carlos Chiodini";"MDB"
204362;"Ricardo Guidi";"PSD"
204364;"Eli Borges";"PL"
204365;"Gilson Marques";"NOVO"
204367;"Daniel Freitas";"PL"
204368;"Fabio Schiochet";"UNIÃO"
204369;"Caroline de Toni";"PL"
204372;"Julio Cesar Ribeiro";"REPUBLICANOS"
204374;"Bia Kicis";"PL"
204378;"Coronel Chrisóstomo";"PL"
204379;"Acácio Favacho";"MDB"
204387;"Sargento Fahur";"PSD"
204388;"Bibo Nunes";"PL"
204390;"Professor Alcides";"PL"
204391;"José Nelto";"PP"
204394;"Gervásio Maia";"PSB"
204395;"Pedro Lupion";"PP"
204396;"Vermelho";"PL"
204398;"Felipe Francischini";"UNIÃO"
204404;"Lucas Redecker";"PSDB"
204406;"Pedro Westphalen";"PP"
204407;"Fernanda Melchionna";"PSOL"
204408;"Gustinho Ribeiro";"REPUBLICANOS"
204409;"Daniel Trzeciak";"PSDB"
204410;"Luisa Canziani";"PSD"
204411;"Filipe Barros";"PL"
204412;"Dr. Zacharias Calil";"UNIÃO"
204416;"Sanderson";"PL"
204419;"Glaustin da Fokus";"PSC"
204422;"Ossesio Silva";"REPUBLICANOS"
204423;"André Ferreira";"PL"
204425;"Silvio Costa Filho";"REPUBLICANOS"
204426;"Carlos Veras";"PT"
204427;"Fernando Rodolfo";"PL"
204431;"Marcos Aurélio Sampaio";"PSD"
204433;"Marcelo Calero";"PSD"
204436;"Isnaldo Bulhões Jr.";"MDB"
204441;"Otoni de Paula";"MDB"
204444;"Helio Lopes";"PL"
204445;"Fernando Mineiro";"PT"
204448;"Luiz Antonio Corrêa";"PP"
204449;"Nelson Barbudo";"PL"
204450;"Doutor Luizinho";"PP"
204453;"Natália Bonavides";"PT"
204455;"Luiz Lima";"PL"
204456;"Gutemberg Reis";"MDB"
204457;"Juninho do Pneu";"UNIÃO"
204459;"Daniela do Waguinho";"UNIÃO"
