"sigla","nome"
"AVANTE","Avante"
"CIDADANIA","Cidadania"
"MDB","Movimento Democrático Brasileiro"
"NOVO","Partido Novo"
"PATRIOTA","Patriota"
"PCdoB","Partido Comunista do Brasil"
"PDT","Partido Democrático Trabalhista"
"PL","Partido Liberal"
"PODE","Podemos"
"PP","Progressistas"
"PRD","Partido Renovação Democrática"
"PROS","Partido Republicano da Ordem Social"
"PSB","Partido Socialista Brasileiro"
"PSC","Partido Social Cristão"
"PSD","Partido Social Democrático"
"PSDB","Partido da Social Democracia Brasileira"
"PSOL","Partido Socialismo e Liberdade"
"PT","Partido dos Trabalhadores"
"PTB","Partido Trabalhista Brasileiro"
"PV","Partido Verde"
"REDE","Rede Sustentabilidade"
"REPUBLICANOS","Republicanos"
"S.PART.","Sem Partido"
"SOLIDARIEDADE","Solidariedade"
"UNIÃO","União Brasil"
